iter	Passed	Remaining
0	1	1496
1	2	1117
2	2	984
3	3	919
4	4	881
5	5	863
6	5	849
7	6	823
8	7	802
9	7	788
10	8	778
11	9	770
12	10	761
13	10	773
14	11	770
15	12	788
16	13	781
17	14	771
18	14	771
19	15	765
20	16	760
21	17	758
22	17	761
23	18	758
24	19	752
25	20	750
26	20	746
27	21	741
28	22	738
29	22	736
30	23	734
31	24	732
32	25	737
33	25	736
34	26	737
35	27	735
36	28	733
37	28	731
38	29	730
39	30	730
40	31	730
41	31	728
42	32	728
43	33	725
44	34	722
45	34	718
46	35	715
47	36	717
48	36	715
49	37	713
50	38	710
51	38	707
52	39	705
53	40	702
54	40	700
55	41	697
56	42	696
57	42	694
58	43	695
59	44	693
60	44	691
61	45	689
62	46	686
63	46	684
64	47	682
65	48	682
66	49	683
67	49	682
68	50	679
69	51	678
70	51	675
71	52	673
72	52	672
73	53	670
74	54	673
75	55	672
76	55	669
77	56	668
78	57	666
79	58	669
80	58	668
81	59	667
82	59	662
83	60	661
84	61	660
85	62	659
86	63	663
87	63	662
88	64	661
89	65	660
90	65	658
91	66	657
92	67	657
93	68	657
94	68	656
95	69	655
96	70	653
97	70	653
98	71	652
99	72	652
100	73	652
101	74	651
102	74	651
103	76	655
104	76	653
105	77	653
106	78	653
107	78	652
108	79	651
109	80	649
110	81	648
111	81	647
112	82	645
113	82	644
114	83	643
115	84	642
116	84	640
117	85	640
118	86	640
119	87	640
120	88	643
121	89	642
122	90	642
123	90	641
124	91	640
125	92	639
126	93	639
127	93	638
128	94	637
129	96	642
130	96	641
131	97	640
132	98	639
133	98	639
134	100	642
135	101	646
136	102	647
137	103	646
138	104	645
139	104	644
140	105	643
141	106	641
142	106	640
143	107	639
144	108	638
145	108	637
146	110	638
147	110	637
148	111	636
149	112	635
150	112	634
151	113	633
152	114	632
153	115	631
154	115	630
155	116	629
156	117	629
157	117	628
158	118	627
159	119	627
160	119	625
161	120	624
162	121	623
163	122	624
164	123	624
165	124	624
166	125	624
167	125	623
168	126	623
169	127	622
170	128	621
171	128	620
172	129	619
173	130	618
174	130	617
175	131	615
176	132	614
177	132	613
178	133	612
179	134	611
180	134	610
181	135	609
182	136	607
183	136	607
184	137	606
185	138	605
186	139	604
187	139	604
188	140	603
189	141	602
190	142	602
191	142	601
192	143	600
193	144	599
194	145	598
195	145	598
196	146	597
197	147	596
198	148	596
199	149	596
200	149	595
201	150	594
202	151	593
203	151	592
204	152	591
205	153	590
206	153	589
207	154	588
208	155	587
209	155	586
210	156	585
211	157	585
212	158	584
213	158	583
214	159	582
215	160	581
216	160	580
217	161	580
218	162	579
219	163	578
220	163	577
221	164	576
222	165	575
223	165	574
224	166	574
225	167	574
226	168	574
227	169	573
228	170	572
229	170	571
230	171	570
231	172	569
232	172	568
233	173	567
234	174	566
235	174	565
236	175	564
237	175	563
238	176	561
239	177	560
240	177	559
241	178	558
242	179	557
243	179	556
244	180	555
245	181	554
246	181	553
247	182	552
248	182	551
249	183	550
250	184	549
251	184	548
252	185	548
253	186	547
254	186	546
255	187	545
256	188	544
257	188	543
